"Plot Title: bas_ml_20251108"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20059998, SEN S/N: 20054028, LBL: t_air)","RH, % (LGR S/N: 20059998, SEN S/N: 20054028, LBL: hr_air)","Temp, °C (LGR S/N: 20059998, SEN S/N: 22155504, LBL: t_1)","Temp, °C (LGR S/N: 20059998, SEN S/N: 22194991, LBL: t_2)","Temp, °C (LGR S/N: 20059998, SEN S/N: 22194995, LBL: t_3)","Temp, °C (LGR S/N: 20059998, SEN S/N: 22285562, LBL: t_0)"
179,11/10/25 06:15:01  AM,-2.976,91.300,2.983,5.514,6.153,-0.423
180,11/10/25 06:30:01  AM,-2.976,91.700,2.983,5.514,6.153,-0.423
181,11/10/25 06:45:01  AM,-2.976,91.900,2.983,5.514,6.153,-0.423
182,11/10/25 07:00:01  AM,-2.888,92.100,2.983,5.514,6.153,-0.395
183,11/10/25 07:15:01  AM,-2.800,91.700,2.983,5.514,6.153,-0.395
184,11/10/25 07:30:01  AM,-2.800,92.300,2.956,5.514,6.153,-0.395
185,11/10/25 07:45:01  AM,-2.566,92.400,2.956,5.488,6.153,-0.395
186,11/10/25 08:00:01  AM,-2.479,92.200,2.956,5.488,6.153,-0.339
187,11/10/25 08:15:01  AM,-2.247,92.200,2.956,5.488,6.153,-0.339
188,11/10/25 08:30:01  AM,-2.044,92.500,2.930,5.488,6.153,-0.283
